y0,MW
y1,log10P_mmHg
y2,Zc
y3,Tc_K
y4,Pc_bar
y5,Vc_cm3_per_mol
y6,rho_g_per_cm3
y7,dHcomb_kJ_per_mol
y8,dHform_kJ_per_mol
y9,T_freeze_K
y10,T_boil_K
y11,dHvap_kJ_per_mol
y12,S_form_J_per_mol_per_K
y13,dGform_kJ_per_mol
y14,Cp_liq_J_per_mol_per_K
y15,Cp_sol_J_per_mol_per_K
y16,dAform_kJ_per_mol
y17,dUform_kJ_per_mol
y18,RI_nD
y19,logP_octanol_water
y20,VdW_area_cm2_per_mol
y21,VdW_volume_cm3_per_mol
y22,r_gyration_A
y23,sigma_dyne_per_cm
y24,thermal_exp_coef_liq_per_K
y25,viscosity_gas_cP
y26,log_omega
y27,log_D_air_cm2_per_s
y28,log_D_water_cm2_per_s
y29,log_dHfusion_kJ_per_mol
y30,log_Cp_gas_J_per_mol_per_K
y31,log_henry_atm_m3_per_mol
y32,log_thermal_cond_gas_W_per_mK
y33,log_thermal_cond_liq_W_per_mK
y34,log_viscosity_liq_cP
